* Currently node departure ,arrival and passing time after scheduling
* Node ID, Departure Time (sec), Arrival Time (sec), Passing Time (sec)
N3,0,0,22758
N3,0,0,23298
N3,0,0,24411
N3,0,0,25698
N3,0,0,27039
N3,0,0,27159
N3,0,0,27438
N3,0,0,27798
N3,0,0,28158
N3,0,0,29598
N3,0,0,29778
N3,0,0,30378
N3,0,0,30498
N3,0,0,31158
N3,0,0,35538
N3,0,0,37458
N3,0,0,37998
N3,0,0,38898
N3,0,0,39318
N3,0,0,40698
N3,0,0,42309
N3,0,0,45198
N3,0,0,45378
N3,0,0,45498
N3,0,0,49444
N3,0,0,50283
N3,0,0,54378
N3,0,0,56478
N3,0,0,61038
N3,0,0,62478
N3,0,0,62778
N3,0,0,66738
N3,0,0,67518
N3,0,0,69138
N3,0,0,70638
N3,0,0,71418
N3,0,0,71718
N3,0,0,72738
N3,0,0,74178
N3,0,0,74898
N3,0,0,80658
N3,0,0,81318
N3,0,0,86418
N4,0,0,928
N4,0,0,4036
N4,0,0,4575
N4,0,0,4685
N4,0,0,6305
N4,0,0,6408
N4,0,0,10756
N4,0,0,12448
N4,0,0,12628
N4,0,0,15916
N4,0,0,18508
N4,0,0,18665
N4,0,0,19836
N4,0,0,20045
N4,0,0,23056
N4,0,0,23596
N4,0,0,24135
N4,0,0,24708
N4,0,0,25996
N4,0,0,26525
N4,0,0,27336
N4,0,0,27456
N4,0,0,28096
N4,0,0,28456
N4,0,0,29896
N4,0,0,30076
N4,0,0,30676
N4,0,0,30796
N4,0,0,31456
N4,0,0,32608
N4,0,0,32908
N4,0,0,36148
N4,0,0,37756
N4,0,0,38296
N4,0,0,39196
N4,0,0,39616
N4,0,0,41250
N4,0,0,41610
N4,0,0,41910
N4,0,0,42330
N4,0,0,43985
N4,0,0,45496
N4,0,0,45676
N4,0,0,45796
N4,0,0,46335
N4,0,0,47308
N4,0,0,49168
N4,0,0,49742
N4,0,0,50580
N4,0,0,51119
N4,0,0,51235
N4,0,0,51635
N4,0,0,54676
N4,0,0,56776
N4,0,0,61336
N4,0,0,62776
N4,0,0,63076
N4,0,0,65465
N4,0,0,67036
N4,0,0,67816
N4,0,0,69436
N4,0,0,70936
N4,0,0,71716
N4,0,0,72016
N4,0,0,73036
N4,0,0,74476
N4,0,0,76606
N4,0,0,78808
N4,0,0,78928
N4,0,0,79408
N4,0,0,80248
N4,0,0,80884
N4,0,0,80956
N4,0,0,81495
N4,0,0,81611
N4,0,0,81624
N4,0,0,82163
N4,0,0,82279
N4,0,0,82399
N4,0,0,83038
N4,0,0,83158
N4,0,0,83525
N4,0,0,83788
N4,0,0,84148
N4,0,0,84365
N4,0,0,84508
N4,0,0,84688
N4,0,0,85528
N5,0,0,4656
N5,0,0,6386
N5,0,0,6502
N5,0,0,12530
N5,0,0,12710
N6,0,0,0
N7,0,860,0
N7,0,3080,0
N7,0,3680,0
N7,0,10400,0
N7,0,13400,0
N7,0,15200,0
N7,0,15560,0
N7,0,19480,0
N7,0,22700,0
N7,0,23240,0
N7,0,24352,0
N7,0,25640,0
N7,0,26980,0
N7,0,27100,0
N7,0,27380,0
N7,0,27740,0
N7,0,28100,0
N7,0,29540,0
N7,0,29720,0
N7,0,30320,0
N7,0,30440,0
N7,0,31100,0
N7,0,35480,0
N7,0,37400,0
N7,0,37940,0
N7,0,38840,0
N7,0,39260,0
N7,0,40640,0
N7,0,42250,0
N7,0,45140,0
N7,0,45320,0
N7,0,45440,0
N7,0,49386,0
N7,0,50224,0
N7,0,54320,0
N7,0,56420,0
N7,0,60980,0
N7,0,62420,0
N7,0,62720,0
N7,0,66680,0
N7,0,67460,0
N7,0,69080,0
N7,0,70580,0
N7,0,71360,0
N7,0,71660,0
N7,0,72680,0
N7,0,74120,0
N7,0,74840,0
N7,0,80600,0
N7,0,81260,0
N7,0,86360,0
N8,0,845,0
N8,0,1805,0
N8,0,2525,0
N8,0,3065,0
N8,0,3665,0
N8,0,8105,0
N8,0,10385,0
N8,0,13385,0
N8,0,13565,0
N8,0,13985,0
N8,0,14225,0
N8,0,14525,0
N8,0,15185,0
N8,0,15365,0
N8,0,15545,0
N8,0,15905,0
N8,0,16145,0
N8,0,16325,0
N8,0,16505,0
N8,0,16685,0
N8,0,16865,0
N8,0,16985,0
N8,0,17165,0
N8,0,17585,0
N8,0,17765,0
N8,0,17945,0
N8,0,18125,0
N8,0,18305,0
N8,0,18867,0
N8,0,18986,0
N8,0,19106,0
N8,0,19226,0
N8,0,19346,0
N8,0,19466,0
N8,0,19586,0
N8,0,19706,0
N8,0,19826,0
N8,0,20247,0
N8,0,20366,0
N8,0,20525,0
N8,0,20705,0
N8,0,20885,0
N8,0,21065,0
N8,0,21185,0
N8,0,21365,0
N8,0,21485,0
N8,0,21665,0
N8,0,21785,0
N8,0,21965,0
N8,0,22085,0
N8,0,22205,0
N8,0,22325,0
N8,0,22445,0
N8,0,22685,0
N8,0,22805,0
N8,0,22985,0
N8,0,23225,0
N8,0,23465,0
N8,0,23705,0
N8,0,23885,0
N8,0,24065,0
N8,0,24338,0
N8,0,24545,0
N8,0,24785,0
N8,0,24965,0
N8,0,25265,0
N8,0,25385,0
N8,0,25625,0
N8,0,25745,0
N8,0,25985,0
N8,0,26165,0
N8,0,26405,0
N8,0,26727,0
N8,0,26846,0
N8,0,26966,0
N8,0,27086,0
N8,0,27245,0
N8,0,27365,0
N8,0,27605,0
N8,0,27725,0
N8,0,27965,0
N8,0,28085,0
N8,0,28205,0
N8,0,28325,0
N8,0,28445,0
N8,0,28565,0
N8,0,28685,0
N8,0,28805,0
N8,0,28985,0
N8,0,29105,0
N8,0,29285,0
