* Link capacity after scheduling
* Link ID, Time (sec), Max Capacity, Count
gate23,82784,3,0
gate23,82800,3,0
gate24,0,3,0
gate24,3600,3,0
gate24,7200,3,0
gate24,10800,3,0
gate24,14400,3,0
gate24,18000,3,0
gate24,21600,3,0
gate24,25200,3,0
gate24,28800,3,0
gate24,32400,3,0
gate24,34388,3,-1
gate24,34537,3,0
gate24,34742,3,1
gate24,34915,3,0
gate24,36000,3,0
gate24,39600,3,0
gate24,40060,3,1
gate24,40233,3,0
gate24,43200,3,0
gate24,46800,3,0
gate24,50400,3,0
gate24,52920,3,1
gate24,53069,3,0
gate24,54000,3,0
gate24,55261,3,-1
gate24,55410,3,0
gate24,57600,3,0
gate24,61200,3,0
gate24,61801,3,-1
gate24,61950,3,0
gate24,62040,3,1
gate24,62189,3,0
gate24,64800,3,0
gate24,68400,3,0
gate24,69720,3,1
gate24,69869,3,0
gate24,72000,3,0
gate24,73800,3,1
gate24,73949,3,0
gate24,75600,3,0
gate24,79200,3,0
gate24,82800,3,0
gate25,0,3,0
gate25,3600,3,0
gate25,7200,3,0
gate25,10800,3,0
gate25,14400,3,0
gate25,18000,3,0
gate25,21600,3,0
gate25,25200,3,0
gate25,28800,3,0
gate25,32400,3,0
gate25,34260,3,1
gate25,34401,3,0
gate25,36000,3,0
gate25,36934,3,-1
gate25,37069,3,0
gate25,39600,3,0
gate25,42417,3,1
gate25,42573,3,0
gate25,43200,3,0
gate25,46800,3,0
gate25,46983,3,-1
gate25,47118,3,0
gate25,50400,3,0
gate25,54000,3,0
gate25,54960,3,1
gate25,55094,3,0
gate25,56533,3,-1
gate25,56668,3,0
gate25,57600,3,0
gate25,61200,3,0
gate25,62460,3,1
gate25,62594,3,0
gate25,63481,3,-1
gate25,63616,3,0
gate25,64800,3,0
gate25,68149,3,-1
gate25,68284,3,0
gate25,68400,3,0
gate25,69240,3,1
gate25,69374,3,0
gate25,72000,3,0
gate25,72769,3,-1
gate25,72904,3,0
gate25,75600,3,0
gate25,79200,3,0
gate25,82800,3,0
gate26,0,3,0
gate26,3600,3,0
gate26,7200,3,0
gate26,10800,3,0
gate26,14400,3,0
gate26,17149,3,-1
gate26,17265,3,0
gate26,18000,3,0
gate26,21600,3,0
gate26,22129,3,-1
gate26,22245,3,0
gate26,25200,3,0
gate26,28800,3,0
gate26,32400,3,0
gate26,36000,3,0
gate26,36900,3,1
gate26,37015,3,0
gate26,39600,3,0
gate26,43200,3,0
gate26,46309,3,-1
gate26,46425,3,0
gate26,46800,3,0
gate26,50400,3,0
gate26,53276,3,-1
gate26,53392,3,0
gate26,53393,3,1
gate26,53509,3,0
gate26,54000,3,0
gate26,57600,3,0
gate26,58501,3,-1
gate26,58617,3,0
gate26,61200,3,0
gate26,64800,3,0
gate26,68400,3,0
gate26,68520,3,1
gate26,68635,3,0
gate26,68929,3,-1
gate26,69045,3,0
gate26,72000,3,0
gate26,74869,3,-1
gate26,74985,3,0
gate26,74986,3,1
gate26,75102,3,0
gate26,75600,3,0
gate26,79200,3,0
gate26,82800,3,0
gate27,0,2,0
gate27,3600,2,0
gate27,7200,2,0
gate27,10800,2,0
gate27,14400,2,0
gate27,18000,2,0
gate27,19450,2,-1
gate27,19537,2,0
gate27,21600,2,0
gate27,25200,2,0
gate27,28800,2,0
gate27,32400,2,0
gate27,34393,2,1
gate27,34495,2,0
gate27,36000,2,0
gate27,38465,2,1
gate27,38566,2,0
gate27,39600,2,0
gate27,40135,2,-1
gate27,40222,2,0
