* Scheduled routes in the airport surface,,,,,,,,,,,,,,
* Index,Flight ID,Address,Aircraft Type,Wake Category,State,Connection,Entry Time (seconds),Exit Time (seconds),Transit Time (seconds),Previous Link,Current Link,Next Link,Speed-Up (%),Slow-Down (%)
28,JNA211,HL7555,B738,M,DEP,N,30724,30739,15,Tx95,Tx77,Tx43,5,10
28,JNA211,HL7555,B738,M,DEP,N,30739,30762,23,Tx43,33L,XXXX,5,10
29,AAR701,HL7791,B772,H,DEP,N,30540,30600,60,XXXX,G48,gate42,5,10
29,AAR701,HL7791,B772,H,DEP,N,30600,30626,26,gate42,Tx233,Tx138,5,10
29,AAR701,HL7791,B772,H,DEP,N,30626,30642,16,Tx233,Tx138,Tx167,5,10
29,AAR701,HL7791,B772,H,DEP,N,30642,30657,15,Tx138,Tx167,Tx198,5,10
29,AAR701,HL7791,B772,H,DEP,N,30657,30683,26,Tx198,34,XXXX,5,10
30,PAL467,RPC9910,A321,M,DEP,N,30720,30783,63,XXXX,G118,gate69,5,10
30,PAL467,RPC9910,A321,M,DEP,N,30783,30860,77,gate69,Tx119,Tx228,5,10
30,PAL467,RPC9910,A321,M,DEP,N,30860,30899,39,Tx119,Tx228,Tx229,5,10
30,PAL467,RPC9910,A321,M,DEP,N,30899,30914,15,Tx228,Tx229,Tx230,5,10
30,PAL467,RPC9910,A321,M,DEP,N,30914,30928,14,Tx229,Tx230,Tx231,5,10
30,PAL467,RPC9910,A321,M,DEP,N,30928,30993,65,Tx230,Tx231,Tx137,5,10
30,PAL467,RPC9910,A321,M,DEP,N,30993,31009,16,Tx231,Tx137,Tx152,5,10
30,PAL467,RPC9910,A321,M,DEP,N,31009,31022,13,Tx137,Tx152,Tx167,5,10
30,PAL467,RPC9910,A321,M,DEP,N,31022,31037,15,Tx152,Tx167,Tx198,5,10
30,PAL467,RPC9910,A321,M,DEP,N,31037,31063,26,Tx198,34,XXXX,5,10
31,JNA231,HL7562,B738,M,DEP,N,30720,30786,66,XXXX,G125,gate56,5,10
31,JNA231,HL7562,B738,M,DEP,N,30786,30798,12,gate56,Tx215,Tx128,5,10
31,JNA231,HL7562,B738,M,DEP,N,30798,30836,38,Tx215,Tx128,Tx214,5,10
31,JNA231,HL7562,B738,M,DEP,N,30836,30848,12,Tx128,Tx214,Tx125,5,10
31,JNA231,HL7562,B738,M,DEP,N,30848,30874,26,Tx214,Tx125,Tx212,5,10
