* Link states in hour
** ID,Day,Time in hour,State
gate34,1,13,DEFAULT
gate34,1,14,DEFAULT
gate34,1,15,DEFAULT
gate34,1,16,DEFAULT
gate34,1,17,DEFAULT
gate34,1,18,DEFAULT
gate34,1,19,DEFAULT
gate34,1,20,DEFAULT
gate34,1,21,DEFAULT
gate34,1,22,DEFAULT
gate34,1,23,DEFAULT
gate35,1,0,DEFAULT
gate35,1,1,DEFAULT
gate35,1,2,DEFAULT
gate35,1,3,DEFAULT
gate35,1,4,DEFAULT
gate35,1,5,DEFAULT
gate35,1,6,DEFAULT
gate35,1,7,DEFAULT
gate35,1,8,DEFAULT
gate35,1,9,DEFAULT
gate35,1,10,DEFAULT
gate35,1,11,DEFAULT
gate35,1,12,DEFAULT
gate35,1,13,DEFAULT
gate35,1,14,DEFAULT
gate35,1,15,DEFAULT
gate35,1,16,DEFAULT
gate35,1,17,DEFAULT
gate35,1,18,DEFAULT
gate35,1,19,DEFAULT
gate35,1,20,DEFAULT
gate35,1,21,DEFAULT
gate35,1,22,DEFAULT
gate35,1,23,DEFAULT
gate36,1,0,DEFAULT
gate36,1,1,DEFAULT
gate36,1,2,DEFAULT
gate36,1,3,DEFAULT
gate36,1,4,DEFAULT
gate36,1,5,DEFAULT
gate36,1,6,DEFAULT
gate36,1,7,DEFAULT
gate36,1,8,DEFAULT
gate36,1,9,DEFAULT
gate36,1,10,DEFAULT
gate36,1,11,DEFAULT
gate36,1,12,DEFAULT
gate36,1,13,DEFAULT
gate36,1,14,DEFAULT
gate36,1,15,DEFAULT
gate36,1,16,DEFAULT
gate36,1,17,DEFAULT
gate36,1,18,DEFAULT
gate36,1,19,DEFAULT
gate36,1,20,DEFAULT
gate36,1,21,DEFAULT
gate36,1,22,DEFAULT
gate36,1,23,DEFAULT
gate37,1,0,DEFAULT
gate37,1,1,DEFAULT
gate37,1,2,DEFAULT
gate37,1,3,DEFAULT
gate37,1,4,DEFAULT
gate37,1,5,DEFAULT
gate37,1,6,DEFAULT
gate37,1,7,DEFAULT
gate37,1,8,DEFAULT
gate37,1,9,DEFAULT
gate37,1,10,DEFAULT
gate37,1,11,DEFAULT
gate37,1,12,DEFAULT
gate37,1,13,DEFAULT
gate37,1,14,DEFAULT
gate37,1,15,DEFAULT
gate37,1,16,DEFAULT
gate37,1,17,DEFAULT
gate37,1,18,DEFAULT
gate37,1,19,DEFAULT
gate37,1,20,DEFAULT
gate37,1,21,DEFAULT
gate37,1,22,DEFAULT
gate37,1,23,DEFAULT
gate38,1,0,DEFAULT
gate38,1,1,DEFAULT
gate38,1,2,DEFAULT
gate38,1,3,DEFAULT
gate38,1,4,DEFAULT
gate38,1,5,DEFAULT
gate38,1,6,DEFAULT
gate38,1,7,DEFAULT
gate38,1,8,DEFAULT
gate38,1,9,DEFAULT
gate38,1,10,DEFAULT
gate38,1,11,DEFAULT
gate38,1,12,DEFAULT
gate38,1,13,DEFAULT
gate38,1,14,DEFAULT
gate38,1,15,DEFAULT
gate38,1,16,DEFAULT
gate38,1,17,DEFAULT
gate38,1,18,DEFAULT
gate38,1,19,DEFAULT
